PTS_HOME,PTS_AWAY,TEAM_NAME_HOME,TEAM_NAME_AWAY,GAME_DATE
94,100,Toronto Raptors,New York Knicks,1997-03-05
103,106,Toronto Raptors,San Antonio Spurs,1997-03-07
81,77,Toronto Raptors,Vancouver Grizzlies,1997-03-09
101,105,Phoenix Suns,Toronto Raptors,1997-03-11
96,103,Sacramento Kings,Toronto Raptors,1997-03-13
106,102,Golden State Warriors,Toronto Raptors,1997-03-15
98,90,Los Angeles Lakers,Toronto Raptors,1997-03-16
117,105,Toronto Raptors,Philadelphia 76ers,1997-03-18
97,99,Detroit Pistons,Toronto Raptors,1997-03-19
97,102,Toronto Raptors,Charlotte Hornets,1997-03-21
79,90,Toronto Raptors,Atlanta Hawks,1997-03-23
84,98,Toronto Raptors,Indiana Pacers,1997-03-25
83,96,Toronto Raptors,Chicago Bulls,1997-03-27
113,86,Washington Bullets,Toronto Raptors,1997-03-28
102,97,Toronto Raptors,Miami Heat,1997-03-30
90,112,Philadelphia 76ers,Toronto Raptors,1997-04-02
98,84,Miami Heat,Toronto Raptors,1997-04-05
100,94,Toronto Raptors,Washington Bullets,1997-04-08
69,105,Toronto Raptors,Orlando Magic,1997-04-10
89,100,Toronto Raptors,Indiana Pacers,1997-04-12
117,100,Chicago Bulls,Toronto Raptors,1997-04-14
92,85,Milwaukee Bucks,Toronto Raptors,1997-04-15
100,108,Charlotte Hornets,Toronto Raptors,1997-04-18
94,125,Boston Celtics,Toronto Raptors,1997-04-20
114,101,Miami Heat,Toronto Raptors,1997-10-31
90,85,Atlanta Hawks,Toronto Raptors,1997-11-01
104,86,Toronto Raptors,Golden State Warriors,1997-11-04
92,109,Toronto Raptors,Seattle SuperSonics,1997-11-06
96,87,Orlando Magic,Toronto Raptors,1997-11-08
98,100,Toronto Raptors,San Antonio Spurs,1997-11-10
70,93,Toronto Raptors,New York Knicks,1997-11-12
103,99,Boston Celtics,Toronto Raptors,1997-11-14
77,105,Toronto Raptors,Indiana Pacers,1997-11-15
109,122,Toronto Raptors,Boston Celtics,1997-11-18
127,97,Houston Rockets,Toronto Raptors,1997-11-20
108,104,Miami Heat,Toronto Raptors,1997-11-22
90,91,Toronto Raptors,Portland Trail Blazers,1997-11-24
104,109,Toronto Raptors,Atlanta Hawks,1997-11-26
93,91,Dallas Mavericks,Toronto Raptors,1997-11-28
105,99,Los Angeles Lakers,Toronto Raptors,1997-11-30
115,98,Utah Jazz,Toronto Raptors,1997-12-03
110,91,Phoenix Suns,Toronto Raptors,1997-12-05
83,93,Toronto Raptors,Detroit Pistons,1997-12-07
82,95,Toronto Raptors,Charlotte Hornets,1997-12-09
97,104,Philadelphia 76ers,Toronto Raptors,1997-12-10
97,70,Chicago Bulls,Toronto Raptors,1997-12-13
101,108,Toronto Raptors,Indiana Pacers,1997-12-15
83,88,Toronto Raptors,Boston Celtics,1997-12-17
92,91,Toronto Raptors,Milwaukee Bucks,1997-12-19
92,94,Toronto Raptors,Washington Wizards,1997-12-20
81,79,Charlotte Hornets,Toronto Raptors,1997-12-22
94,97,New York Knicks,Toronto Raptors,1997-12-27
100,95,Detroit Pistons,Toronto Raptors,1997-12-30
118,91,Washington Wizards,Toronto Raptors,1997-12-31
88,91,Toronto Raptors,Detroit Pistons,1998-01-02
89,77,Indiana Pacers,Toronto Raptors,1998-01-03
96,120,Toronto Raptors,Houston Rockets,1998-01-05
81,83,Toronto Raptors,Orlando Magic,1998-01-07
93,102,Cleveland Cavaliers,Toronto Raptors,1998-01-10
100,108,Toronto Raptors,New Jersey Nets,1998-01-12
109,101,Toronto Raptors,Los Angeles Clippers,1998-01-14
82,93,Toronto Raptors,New York Knicks,1998-01-17
109,88,Charlotte Hornets,Toronto Raptors,1998-01-19
99,98,Toronto Raptors,Sacramento Kings,1998-01-21
113,107,Toronto Raptors,Minnesota Timberwolves,1998-01-24
91,87,Toronto Raptors,Philadelphia 76ers,1998-01-26
80,84,Denver Nuggets,Toronto Raptors,1998-01-29
123,97,Sacramento Kings,Toronto Raptors,1998-01-30
97,90,Portland Trail Blazers,Toronto Raptors,1998-02-01
105,110,Toronto Raptors,Phoenix Suns,1998-02-03
101,93,Toronto Raptors,Dallas Mavericks,1998-02-05
93,86,Chicago Bulls,Toronto Raptors,1998-02-10
94,103,Toronto Raptors,Cleveland Cavaliers,1998-02-12
130,115,New Jersey Nets,Toronto Raptors,1998-02-13
95,116,Toronto Raptors,Miami Heat,1998-02-15
86,123,Toronto Raptors,Chicago Bulls,1998-02-19
94,89,Milwaukee Bucks,Toronto Raptors,1998-02-20
113,105,Toronto Raptors,Vancouver Grizzlies,1998-02-22
97,86,San Antonio Spurs,Toronto Raptors,1998-02-26
107,115,Orlando Magic,Toronto Raptors,1998-02-27
