PLUS_MINUS_HOME,PLUS_MINUS_AWAY,TEAM_NAME_HOME,TEAM_NAME_AWAY
-10,10,Chicago Bulls,Toronto Raptors
7,-7,Toronto Raptors,Philadelphia 76ers
5,-5,Atlanta Hawks,Toronto Raptors
-3,3,Toronto Raptors,Minnesota Timberwolves
12,-12,Toronto Raptors,Boston Celtics
7,-7,Toronto Raptors,Denver Nuggets
-15,15,Cleveland Cavaliers,Toronto Raptors
-7,7,Toronto Raptors,Miami Heat
-18,18,Toronto Raptors,San Antonio Spurs
11,-11,Toronto Raptors,Golden State Warriors
2,-2,New Jersey Nets,Toronto Raptors
-1,1,Toronto Raptors,Sacramento Kings
-7,7,Washington Wizards,Toronto Raptors
12,-12,Toronto Raptors,Cleveland Cavaliers
-7,7,Atlanta Hawks,Toronto Raptors
17,-17,Toronto Raptors,New Jersey Nets
10,-10,Toronto Raptors,New York Knicks
7,-7,Sacramento Kings,Toronto Raptors
12,-12,Los Angeles Lakers,Toronto Raptors
-11,11,Seattle SuperSonics,Toronto Raptors
-17,17,Vancouver Grizzlies,Toronto Raptors
-4,4,Toronto Raptors,Milwaukee Bucks
16,-16,New York Knicks,Toronto Raptors
21,-21,Toronto Raptors,Indiana Pacers
16,-16,Charlotte Hornets,Toronto Raptors
26,-26,Toronto Raptors,Atlanta Hawks
10,-10,Toronto Raptors,Vancouver Grizzlies
-9,9,Miami Heat,Toronto Raptors
11,-11,Toronto Raptors,New Jersey Nets
-3,3,Toronto Raptors,Orlando Magic
15,-15,Toronto Raptors,Philadelphia 76ers
-3,3,Cleveland Cavaliers,Toronto Raptors
-8,8,Orlando Magic,Toronto Raptors
12,-12,Toronto Raptors,Chicago Bulls
12,-12,Detroit Pistons,Toronto Raptors
12,-12,Toronto Raptors,Miami Heat
26,-26,Milwaukee Bucks,Toronto Raptors
2,-2,Toronto Raptors,Detroit Pistons
-6,6,Washington Wizards,Toronto Raptors
29,-29,Orlando Magic,Toronto Raptors
5,-5,Miami Heat,Toronto Raptors
17,-17,Toronto Raptors,Dallas Mavericks
13,-13,Toronto Raptors,Indiana Pacers
17,-17,Toronto Raptors,Golden State Warriors
-21,21,Utah Jazz,Toronto Raptors
11,-11,Denver Nuggets,Toronto Raptors
9,-9,Sacramento Kings,Toronto Raptors
-7,7,Golden State Warriors,Toronto Raptors
-9,9,Los Angeles Clippers,Toronto Raptors
-6,6,Phoenix Suns,Toronto Raptors
-4,4,Toronto Raptors,Detroit Pistons
-3,3,Toronto Raptors,Milwaukee Bucks
-2,2,Boston Celtics,Toronto Raptors
19,-19,Toronto Raptors,Philadelphia 76ers
3,-3,Toronto Raptors,Memphis Grizzlies
-1,1,Atlanta Hawks,Toronto Raptors
